station_id,station_name,variable,value,dt,lat,lon,gestore,source
ADRIATIC::MH_dpcn-marche_Tolentino,Tolentino,PREC,0.0,2026-06-21 16:00:00+00:00,43.20922,13.29552,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Tronto,Tronto,PREC,0.0,2026-06-21 16:00:00+00:00,42.85223,13.65146,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Umito,Umito,PREC,0.0,2026-06-21 16:00:00+00:00,42.73742,13.40658,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Urbania,Urbania,PREC,0.0,2026-06-21 16:00:00+00:00,43.65342,12.55213,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Urbino,Urbino,PREC,0.0,2026-06-21 16:00:00+00:00,43.7233,12.6369,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Ussita,Ussita,PREC,0.0,2026-06-21 16:00:00+00:00,42.9436,13.1425,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Villa_Fastiggi,Villa Fastiggi,PREC,0.0,2026-06-21 16:00:00+00:00,43.8906,12.8694,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Villa_Potenza,Villa Potenza,PREC,0.0,2026-06-21 16:00:00+00:00,43.32726,13.42604,MeteoHub_dpcn-marche,ADRIATIC
ARPAE::STA_43.7882_12.1427,ARPAE Station STA_43.7882_12.1427,PREC,0.0,2026-06-21 13:30:00+00:00,43.78817,12.14274,ARPAE,ARPAE
ARPAE::STA_43.7942_12.0047,ARPAE Station STA_43.7942_12.0047,PREC,0.0,2026-06-21 13:30:00+00:00,43.79417,12.00472,ARPAE,ARPAE
ARPAE::STA_43.8318_11.8377,ARPAE Station STA_43.8318_11.8377,PREC,0.0,2026-06-21 13:00:00+00:00,43.83175,11.83771,ARPAE,ARPAE
ARPAE::STA_43.846_12.0357,ARPAE Station STA_43.846_12.0357,PREC,0.0,2026-06-21 13:30:00+00:00,43.84597,12.03572,ARPAE,ARPAE
ARPAE::STA_43.8701_11.8387,ARPAE Station STA_43.8701_11.8387,PREC,0.0,2026-06-21 13:00:00+00:00,43.87008,11.83866,ARPAE,ARPAE
ARPAE::STA_43.8718_11.7472,ARPAE Station STA_43.8718_11.7472,PREC,0.0,2026-06-21 13:00:00+00:00,43.87178,11.7472,ARPAE,ARPAE
ARPAE::STA_43.8739_12.6697,ARPAE Station STA_43.8739_12.6697,PREC,0.0,2026-06-21 13:30:00+00:00,43.87389,12.66972,ARPAE,ARPAE
ARPAE::STA_43.8908_12.0863,ARPAE Station STA_43.8908_12.0863,PREC,0.0,2026-06-21 13:15:00+00:00,43.89078,12.08634,ARPAE,ARPAE
ARPAE::STA_43.8927_12.1934,ARPAE Station STA_43.8927_12.1934,PREC,0.0,2026-06-21 13:30:00+00:00,43.89269,12.19345,ARPAE,ARPAE
ARPAE::STA_43.9011_12.2861,ARPAE Station STA_43.9011_12.2861,PREC,0.0,2026-06-21 13:30:00+00:00,43.90111,12.28611,ARPAE,ARPAE
ARPAE::STA_43.9036_11.9011,ARPAE Station STA_43.9036_11.9011,PREC,0.0,2026-06-21 13:30:00+00:00,43.90358,11.90114,ARPAE,ARPAE
ARPAE::STA_43.9071_11.7931,ARPAE Station STA_43.9071_11.7931,PREC,0.0,2026-06-21 13:30:00+00:00,43.90708,11.79314,ARPAE,ARPAE
ARPAE::STA_43.9226_11.9577,ARPAE Station STA_43.9226_11.9577,PREC,0.0,2026-06-21 13:00:00+00:00,43.92264,11.95766,ARPAE,ARPAE
ARPAE::STA_43.9243_11.7933,ARPAE Station STA_43.9243_11.7933,PREC,0.0,2026-06-21 13:30:00+00:00,43.92426,11.7933,ARPAE,ARPAE
ARPAE::STA_43.9252_11.8919,ARPAE Station STA_43.9252_11.8919,PREC,0.0,2026-06-21 13:00:00+00:00,43.92525,11.89186,ARPAE,ARPAE
