station_id,station_name,lat,lon,gestore,source,PREC_value,PREC_dt,TARIA2M_value,TARIA2M_dt,PRESS_value,PRESS_dt,VV_value,VV_dt,UMID2M_value,UMID2M_dt,PREC_range_flag,TARIA2M_range_flag,PRESS_range_flag,VV_range_flag,UMID2M_range_flag,PREC_robust_z,PREC_outlier_flag,TARIA2M_robust_z,TARIA2M_outlier_flag,PRESS_robust_z,PRESS_outlier_flag,VV_robust_z,VV_outlier_flag,UMID2M_robust_z,UMID2M_outlier_flag,any_outlier_flag,coastal_weight,dist_to_coast_km,any_flag
ADRIATIC::MH_dpcn-marche_Fabriano_Centro,Fabriano Centro,43.33027,12.90403,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,30.2,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.05620833333333344,False,,,,,,,False,0.556,58.6,False
ADRIATIC::MH_dpcn-marche_Fermo,Fermo,43.1575,13.7144,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.149888888888889,False,,,,,,,False,0.747,26.4,False
ADRIATIC::MH_dpcn-marche_Fiastra_Tribbio,Fiastra Tribbio,43.0347,13.156,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,27.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.524611111111111,False,,,,,,,False,0.529,63.2,False
ADRIATIC::MH_dpcn-marche_Filottrano,Filottrano,43.4358,13.3511,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.76,24.2,False
ADRIATIC::MH_dpcn-marche_Fiumesino,Fiumesino,43.62947,13.37233,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.837,11.1,False
ADRIATIC::MH_dpcn-marche_Foce_Cesano,Foce Cesano,43.74958,13.17091,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.72,30.8,False
ADRIATIC::MH_dpcn-marche_Foce_Chienti,Foce Chienti,43.2972,13.72883,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,28.4,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.3934583333333334,False,,,,,,,False,0.673,38.9,False
ADRIATIC::MH_dpcn-marche_Foce_Metauro,Foce Metauro,43.82704,13.05262,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.646,43.4,False
ADRIATIC::MH_dpcn-marche_Foce_Tesino,Foce Tesino,42.97552,13.86875,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,28.8,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.31851388888888865,False,,,,,,,False,0.873,5.0,False
ADRIATIC::MH_dpcn-marche_Foglia_1,Foglia 1,43.79423,12.6188,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.661,40.9,False
ADRIATIC::MH_dpcn-marche_Foglia_2,Foglia 2,43.85179,12.7868,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.647,43.2,False
ADRIATIC::MH_dpcn-marche_Foglia_3,Foglia 3,43.90758,12.89751,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,,,,,,,,,False,False,False,False,False,,False,,,,,,,,,False,0.63,46.2,False
ADRIATIC::MH_dpcn-marche_Fonte_Avellana,Fonte Avellana,43.4711,12.7264,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,25.7,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.8993333333333331,False,,,,,,,False,0.516,65.3,False
ADRIATIC::MH_dpcn-marche_Force,Force,42.9628,13.4897,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.2,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.24356944444444448,False,,,,,,,False,0.691,35.9,False
ADRIATIC::MH_dpcn-marche_Fossombrone,Fossombrone,43.68252,12.7984,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,32.0,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.2810416666666665,False,,,,,,,False,0.561,57.7,False
ADRIATIC::MH_dpcn-marche_Frontino,Frontino,43.75863,12.357,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.5,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.18736111111111103,False,,,,,,,False,0.657,41.5,False
ADRIATIC::MH_dpcn-marche_Gallo,Gallo,43.78148,12.70724,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,32.8,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,0.4309305555555548,False,,,,,,,False,0.634,45.5,False
ADRIATIC::MH_dpcn-marche_Grottazzolina,Grottazzolina,43.1061,13.5986,MeteoHub_dpcn-marche,ADRIATIC,0.0,2026-06-21 16:00:00+00:00,29.6,2026-06-21 16:00:00+00:00,,,,,,,False,False,False,False,False,,False,-0.16862499999999964,False,,,,,,,False,0.723,30.4,False
